pcap_path,size_bytes,parse_ok,endianness,ts_unit,first_ts_epoch,first_ts_utc,year,split,group,protocol_family,notes
Bluetooth/attacks/pcap/test/Bluetooth_Benign_test.pcap,3782333,1,little,us,1694693263.347583055,2023-09-14T12:07:43.347583Z,2023,test,attacks,Bluetooth,
Bluetooth/attacks/pcap/test/Bluetooth_DoS_test.pcap,10070003,1,little,us,1695135023.616805077,2023-09-19T14:50:23.616805Z,2023,test,attacks,Bluetooth,
Bluetooth/attacks/pcap/train/Bluetooth_Benign_train.pcap,12000016,1,little,us,1693920478.732161045,2023-09-05T13:27:58.732161Z,2023,train,attacks,Bluetooth,
Bluetooth/attacks/pcap/train/Bluetooth_DoS_train.pcap,40000034,1,little,us,1693936219.406018019,2023-09-05T17:50:19.406018Z,2023,train,attacks,Bluetooth,
Bluetooth/profiling/pcap/CheckmeO2_Oximeter_Power.pcap,52128,1,little,us,1698599617.374500036,2023-10-29T17:13:37.374500Z,2023,,profiling,Bluetooth,
Bluetooth/profiling/pcap/Checkme_BP2A_Power.pcap,99317,1,little,us,1698745797.159791946,2023-10-31T09:49:57.159792Z,2023,,profiling,Bluetooth,
Bluetooth/profiling/pcap/Checkme_O2_Oximeter_Power.pcap,92774,1,little,us,1698603012.538429976,2023-10-29T18:10:12.538430Z,2023,,profiling,Bluetooth,
Bluetooth/profiling/pcap/COOSPO_HW807_Armband_Power.pcap,43376,1,little,us,1698597943.255954981,2023-10-29T16:45:43.255955Z,2023,,profiling,Bluetooth,
Bluetooth/profiling/pcap/Lookee_O2_Ring_Power.pcap,57248,1,little,us,1698744769.171145916,2023-10-31T09:32:49.171146Z,2023,,profiling,Bluetooth,
Bluetooth/profiling/pcap/Lookee_Sleep_ring_Power.pcap,68527,1,little,us,1698599093.016932964,2023-10-29T17:04:53.016933Z,2023,,profiling,Bluetooth,
Bluetooth/profiling/pcap/Powerlabs_HR_Monitor_Power.pcap,49228,1,little,us,1698598464.593631029,2023-10-29T16:54:24.593631Z,2023,,profiling,Bluetooth,
Bluetooth/profiling/pcap/Rhythm+_Power.pcap,132805,1,little,us,1698600175.877129078,2023-10-29T17:22:55.877129Z,2023,,profiling,Bluetooth,
Bluetooth/profiling/pcap/SleepU_Sleep_Oxygen_Monitor_Power.pcap,54113,1,little,us,1698745276.237438917,2023-10-31T09:41:16.237439Z,2023,,profiling,Bluetooth,
Bluetooth/profiling/pcap/Wellue_O2_Ring_Power.pcap,62589,1,little,us,1698744123.192976952,2023-10-31T09:22:03.192977Z,2023,,profiling,Bluetooth,
WiFI_and_MQTT/attacks/pcap/test/ARP_Spoofing_test.pcap,7949717,1,little,us,1694027470.782885075,2023-09-06T19:11:10.782885Z,2023,test,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/test/Benign_test.pcap,98059593,1,little,us,1694694254.461693048,2023-09-14T12:24:14.461693Z,2023,test,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/test/MQTT-DDoS-Connect_Flood_test.pcap,354547102,1,little,us,1693340875.767119884,2023-08-29T20:27:55.767120Z,2023,test,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/test/MQTT-DDoS-Publish_Flood_test.pcap,331111229,1,little,us,1693339546.221155882,2023-08-29T20:05:46.221156Z,2023,test,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/test/MQTT-DoS-Connect_Flood_test.pcap,27166717,1,little,us,1693247578.319242001,2023-08-28T18:32:58.319242Z,2023,test,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/test/MQTT-DoS-Publish_Flood_test.pcap,236949368,1,little,us,1693330080.443891048,2023-08-29T17:28:00.443891Z,2023,test,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/test/MQTT-Malformed_Data_test.pcap,8570468,1,little,us,1693233980.407346010,2023-08-28T14:46:20.407346Z,2023,test,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/test/Recon-OS_Scan_test.pcap,3455426,1,little,us,1694104462.519284964,2023-09-07T16:34:22.519285Z,2023,test,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/test/Recon-Ping_Sweep_test.pcap,161541,1,little,us,1694105430.736417055,2023-09-07T16:50:30.736417Z,2023,test,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/test/Recon-Port_Scan_test.pcap,20947253,1,little,us,1694102611.205862999,2023-09-07T16:03:31.205863Z,2023,test,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/test/Recon-VulScan_test.pcap,1216962,1,little,us,1694532806.452474117,2023-09-12T15:33:26.452474Z,2023,test,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-ICMP1_test.pcap,1186157315,1,little,us,1694019633.795036077,2023-09-06T17:00:33.795036Z,2023,test,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-ICMP2_test.pcap,1495000433,1,little,us,1693943378.270437956,2023-09-05T19:49:38.270438Z,2023,test,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-SYN_test.pcap,1349298819,1,little,us,1693928609.809045076,2023-09-05T15:43:29.809045Z,2023,test,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-TCP_test.pcap,1399714892,1,little,us,1693922574.980618000,2023-09-05T14:02:54.980618Z,2023,test,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-UDP1_test.pcap,1576000024,1,little,us,1693937349.443722010,2023-09-05T18:09:09.443722Z,2023,test,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-UDP2_test.pcap,1215541422,1,little,us,1693937923.616378069,2023-09-05T18:18:43.616378Z,2023,test,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DoS-ICMP_test.pcap,773170088,1,little,us,1693591021.151103973,2023-09-01T17:57:01.151104Z,2023,test,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DoS-SYN_test.pcap,749546727,1,little,us,1693494698.199676037,2023-08-31T15:11:38.199676Z,2023,test,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DoS-TCP_test.pcap,647511014,1,little,us,1693419578.769855022,2023-08-30T18:19:38.769855Z,2023,test,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DoS-UDP_test.pcap,1049509322,1,little,us,1693577745.895090103,2023-09-01T14:15:45.895090Z,2023,test,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,80000193,1,little,us,1694021280.240978003,2023-09-06T17:28:00.240978Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,395000451,1,little,us,1694614860.354326963,2023-09-13T14:21:00.354327Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/MQTT-DDoS-Connect_Flood_train.pcap,1474000046,1,little,us,1693340340.198348999,2023-08-29T20:19:00.198349Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/MQTT-DDoS-Publish_Flood_train.pcap,1556000060,1,little,us,1693339020.157145977,2023-08-29T19:57:00.157146Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/MQTT-DoS-Connect_Flood_train.pcap,110000019,1,little,us,1693247160.179688931,2023-08-28T18:26:00.179689Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/MQTT-DoS-Publish_Flood_train.pcap,1228000128,1,little,us,1693329540.179303885,2023-08-29T17:19:00.179304Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/MQTT-Malformed_Data_train.pcap,34000023,1,little,us,1693233540.548744917,2023-08-28T14:39:00.548745Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/Recon-OS_Scan_train.pcap,14000021,1,little,us,1694103600.101458073,2023-09-07T16:20:00.101458Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/Recon-Ping_Sweep_train.pcap,644273,1,little,us,1694105340.104079008,2023-09-07T16:49:00.104079Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/Recon-Port_Scan_train.pcap,81000046,1,little,us,1694100000.378206968,2023-09-07T15:20:00.378207Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/Recon-VulScan_train.pcap,5000071,1,little,us,1694532486.484112978,2023-09-12T15:28:06.484113Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP1_train.pcap,1495000075,1,little,us,1693938986.003698111,2023-09-05T18:36:26.003698Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP2_train.pcap,1495000031,1,little,us,1693939620.565790892,2023-09-05T18:47:00.565791Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP3_train.pcap,1495000043,1,little,us,1693939902.965086937,2023-09-05T18:51:42.965087Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP4_train.pcap,1495000009,1,little,us,1693940461.080128908,2023-09-05T19:01:01.080129Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP5_train.pcap,1495000034,1,little,us,1693940996.362122059,2023-09-05T19:09:56.362122Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP6_train.pcap,1495000034,1,little,us,1693941384.831842899,2023-09-05T19:16:24.831843Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP7_train.pcap,1495000006,1,little,us,1693942039.115174055,2023-09-05T19:27:19.115174Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP8_train.pcap,1495000072,1,little,us,1693938480.615072966,2023-09-05T18:28:00.615073Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-SYN1_train.pcap,1556000011,1,little,us,1693925885.918788910,2023-09-05T14:58:05.918789Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-SYN2_train.pcap,1556000071,1,little,us,1693926623.195081949,2023-09-05T15:10:23.195082Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-SYN3_train.pcap,1556000070,1,little,us,1693928224.850094080,2023-09-05T15:37:04.850094Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-SYN4_train.pcap,1556000060,1,little,us,1693924680.397948980,2023-09-05T14:38:00.397949Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-TCP1_train.pcap,1576000045,1,little,us,1693919962.519735098,2023-09-05T13:19:22.519735Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-TCP2_train.pcap,1576001283,1,little,us,1693920322.932090998,2023-09-05T13:25:22.932091Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-TCP3_train.pcap,1576000036,1,little,us,1693921985.480988979,2023-09-05T13:53:05.480989Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-TCP4_train.pcap,1576000070,1,little,us,1693919100.380848885,2023-09-05T13:05:00.380849Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-UDP1_train.pcap,1576000011,1,little,us,1693931700.446391106,2023-09-05T16:35:00.446391Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-UDP2_train.pcap,1576000014,1,little,us,1693932053.728080988,2023-09-05T16:40:53.728081Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-UDP3_train.pcap,1576000001,1,little,us,1693932518.845925093,2023-09-05T16:48:38.845925Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-UDP4_train.pcap,1576000023,1,little,us,1693932857.131983042,2023-09-05T16:54:17.131983Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-UDP5_train.pcap,1576000022,1,little,us,1693933406.814805984,2023-09-05T17:03:26.814806Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-UDP6_train.pcap,1576000006,1,little,us,1693934814.469084978,2023-09-05T17:26:54.469085Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-UDP7_train.pcap,1576000030,1,little,us,1693935170.419281960,2023-09-05T17:32:50.419282Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-UDP8_train.pcap,1576000061,1,little,us,1693937023.368803024,2023-09-05T18:03:43.368803Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-ICMP1_train.pcap,839000042,1,little,us,1693586113.070542097,2023-09-01T16:35:13.070542Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-ICMP2_train.pcap,839000014,1,little,us,1693586509.312561035,2023-09-01T16:41:49.312561Z,2023,train,attacks,WiFI_and_MQTT,
WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-ICMP3_train.pcap,839000053,1,little,us,1693590541.416608095,2023-09-01T17:49:01.416608Z,2023,train,attacks,WiFI_and_MQTT,
